"marca","nombre_fantasia","denominacion","RNPA"
"Cachamate","Cachamate suave con cascaritas de naranja","Yerba mate con palo compuesta, saborizada con naranja libre de gluten","21-106542"
"Cachamate","Cachamate suave sabor a peperina","Yerba mate con palo compuesta, saborizada con peperina libre de gluten","21-106786"
"Cachamate","Cachamate suave con tilo","Yerba mate elaborada con palo compuesta con poleo y tilo libre de gluten","21-106594"
"Cachamate","Cachamate con mezcla de hierbas pampeanas","Yerba mate elaborada con palo compuesta, saborizada con eucaliptus y menta libre de gluten","21-099964"
"Cachamate","Cachamate sabor a limón","Yerba mate elaborada con palo saborizada con limón libre de gluten","21-101600"
"Cachamate","Cachamate con mezcla de hierbas","Yerba mate en saquitos compuesta con hinojo e incayuyo libre de gluten","21-103011"
"Cachamate","Mate cocido","Yerba mate en saquitos libre de gluten","21-102880"
"Cachamate - Cachamai","Cachamate con mezcla de hierbas serranas","Yerba mate compuesta con mezcla de hierbas serranas libre de gluten","21-086475"
"Campeche","No registra","Yerba mate elaborada con palo. Libre de gluten. Sin T.A.C.C.","14019883"
"Campeche Selección Especial","No registra","Yerba mate elaborada con palo. Libre de gluten - Sin TACC","14022036"
"Campeche Suave","No registra","Yerba Mate Elaborada con Libre de Gluten. Sin T.AC.C","14025975"
"Campeche Suave","No registra","Yerba Mate Elaborada con Palo. Libre de Gluten. Sin T.A.C.C.","14025975"
"CBSé","CBSé café","Yerba mate aromatizada con café libre de gluten","21-028958"
"CBSé","CBSé Hierbas Serranas","Yerba mate con palo compuesta con hierbas serranas libre de gluten","21-021817"
"CBSé","CBSé endulzada","Yerba mate dietética elaborada con palo endulzada libre de gluten","21-032970"
"CBSé","CBSé miel","Yerba mate dietética elaborada con palo endulzada saborizada con miel. Libre de gluten","21-031872"
"CBSé","Endulife","Yerba mate dietética elaborada con palo libre de gluten","21-103080"
"CBSé","CBSé pomelo","Yerba mate elaborada aromatizada con pomelo. Libre de gluten","21-029435"
"CBSé","Hierbas litoraleñas","Yerba mate elaborada con palo compuesta, con aroma a limón - Libre de gluten","21-105699"
"CBSé","Con sabor a frutos rojos","Yerba mate elaborada con palo, con rosa mosqueta sabor frutos rojos libre de gluten","21-102991"
"CBSé","Con sabor a frutos tropicales","Yerba mate elaborada con palo, con sabor a mango, naranja y maracuyá libre de gluten","21-103050"
"CBSé","Con sabor a frutos del valle","Yerba mate elaborada con palo, con sabor a pera libre de gluten","21-103051"
"CBSé","Silueta naranja","Yerba mate elaborada con palos, compuesta con hierbas, adicionada con vitaminas: B1, B2, B5, B6, B9, B12 y zinc, con sabor a naranja. Libre de gluten","21-086216"
"CBSé","CBSé limón","Yerba mate elaborado con palo, saborizada con limón libre de gluten","21-028959"
"CBSé","Yerba con hierbas cuyanas","Yerba mate elaborada con hierbas naturales, Libre de gluten","21-094784"
"CBSé","CBSé naranja","Yerba mate elaborada con palo saborizada con naranja libre de gluten sin TACC","21-093011"
"CBSé","Mateando","Yerba mate elaborada con palo, compuesta con hierbas libre de gluten","21-103487"
"CBSé Regulase","CBSé","Yerba mate elaborada con palo compuesta con hierbas libre de gluten","21-046963"
"CBSé Silueta","CBSé","Yerba mate elaborada con palo compuesta con hierbas, vitaminas B1, B2, B5, B6, B9, B12 y zinc libre de gluten","21-047437"
"Chamigo","No registra","Yerba mate elaborada con palo compuesta con poleo y esencia natural de naranja. Libre de Gluten. Sin T.A.C.C.","14026072"
"Clareando","No registra","Yerba mate elaborada con palo con bajo contenido de polvo. Libre de Gluten. Sin T.A.C.C.","14025232"
"Clareando","Yerba mate elaborada con palo. Libre de Gluten. Sin T.A.C.C. - Tradicional","Yerba mate elaborada con palo. Libre de Gluten. Sin T.A.C.C.","14020434"
"Costa Norte","No registra","Yerba mate elaborada con palo - Libre de gluten - Sin TACC","14121812"
"Costa Norte","No registra","Yerba mate en saquitos - Libre de gluten - Sin TACC","14021813"
"Cruz de Malta","Yerba mate elaborada con palo sabor limón. Libre de gluten Sin T.A.C.C","Yerba mate elaborada con palo aromatizada con limón. Libre de gluten Sin T.A.C.C","14022603"
"Cruz de Malta","Yerba mate elaborada con palo sabor naranja. Libre de gluten Sin T.A.C.C","Yerba mate elaborada con palo aromatizada con naranja. Libre de Sin T.A.C.C","14022604"
"Cruz de Malta","No registra","Yerba mate elaborada con palo compuesta con poleo y té verde. Libre de Gluten. Sin T.A.C.C.","14026073"
"Cruz de Malta","Yerba Mate elaborada con palo compuesta con Hierbas Serranas (Poleo, Menta y Peperina). Libre de Gluten. Sin T.A.C.C.","Yerba mate elaborada con palo compuesta con poleo, menta y peperina. Libre de Gluten. Sin T.A.C.C.","14026071"
"Cruz de Malta","Yerba mate elaborada con palo compuesta con hierbas serranas. Libre de gluten","Yerba mate elaborada con palo compuesta con poleo, menta, peperina y saborizante serrano. Libre de gluten","14025371"
"Cruz de Malta","Mate cocido. Libre de gluten. Sin T.AC.C.","Yerba Mate en Saquitos Libre de Gluten .Sin T.A.C.C","14025095"
"Don Leandro","No registra","Yerba Mate Elaborada con Palo con Bajo Contenido de Polvo. Libre de Gluten Sin T.A.C.C.","14026015"
"El Chasqui","Yerba mate elaborada con palo libre de gluten","Yerba mate elaborada. Libre de gluten","14018167"
"Insignia","No registra","Yerba Mate Elaborada con Palo. Libre de Gluten. Sin T.A.C.C.","14000367"
"Jardinera","No registra","Yerba mate elaborada con palo. Libre de Gluten. Sin T.A.C.C.","1400002303"
"José Cristal","Mate cocido","Yerba mate en saquitos libre de gluten","21-101144"
"José Cristal","Yerba mate + Jengibre","Yerba mate con jengibre en saquitos libre de gluten","21-101721"
"Kalena","Yerba mate elaborada con palo libre de gluten","Yerba mate elaborada con palo. Libre de gluten","14024328"
"Karla Johan Somelier de Mate","Yerba Mate Elaborada con Palo. Tradicional Libre de Gluten. Sin T.A.C.C","Yerba Mate Elaborada con Palo. Libre de Gluten. Sin T.A.C.C","14026007"
"Karla Johan Sommelier  de Mate","Yerba Mate Elaborada con Palo Orgánica. Libre de Gluten. Sin T.A.C.C","Yerba mate elaborada con Palo. Libre de Gluten. Sin T.A.C.C","14025575"
"Karla Johan Sommelier de Mate","Yerba Mate Elaborada con Palo. Sapecada por Agua. Libre de Gluten. Sin T.A.C.C","Yerba Mate Elaborada con Palo. Libre de Gluten - Sin T.A.C.C","14026006"
"Kraus","Yerba mate Elaborada con Palo Libre de gluten sin T.A.C.C. Orgánica","Yerba Mate Elaborada con Palo Libre de Gluten Sin T.A.C.C.","14018363"
"Kraus Pionero","No registra","Yerba Mate Elaborada con Palo. Libre de Gluten. Sin T.A.C.C .","14023006"
"La Jornada","No registra","Yerba mate elaborada con palo. Libre de Gluten. Sin T.A.C.C.","1400002213"
"La Obereña","No registra","Yerba Mate Elaborada con Palo. Libre de Gluten. Sin T.A.C.C.","14018492"
"La Obereña","Yerba Mate Elaborada con Palo. Libre de Gluten. Sin T.A.C.C. -Orgánica","Yerba Mate Elaborada con Palo. Libre de Gluten. Sin T.A.C.C.","14022658"
"La Tranquera","Yerba mate en saquitos sin palo. Libre de gluten","Yerba mate en saquitos. Libre de gluten","14025179"
"La Tranquera","No registra","Yerba Mate elaborada con palo libre de gluten. Sin T.A.C.C","14001324"
"La Tranquera","Yerba mate elaborada con palo. Selección Especial. Suave.","Yerba mate elaborada con palo libre de gluten. Sin T.A.C.C","14025093"
"La Tranquera","No registra","Yerba Mate en Saquitos. Libre de gluten Sin T.A.C.C","14001869"
"La Tranquera Selección Especial","Yerba mate en saquitos selección especial. Libre de gluten","Yerba mate en saquitos. Libre de gluten","14025180"
"La Tranquera Selección Especial","No registra","Yerba mate elaborada con palo libre de gluten Sin T.A.C.C","14024183"
"Las Tunas","No registra","Yerba mate elaborada con palo. Libre de Gluten. Sin T.A.C.C.","14000187"
"Las Tunas.","No registra","Yerba Mate Elaborada con Palo para Tereré .Libre de Gluten si T.A.C.C","14026017"
"Mate Rojo","No registra","Yerba Mate Elaborada con Palo Libre de gluten Sin T.A.C.C","14025951"
"Mate Rojo","No registra","Yerba Mate con Palo Compuesta (con Mente Poleo y Manzanilla). Libre de gluten sin T.A.C.C","14023593"
"Mate Rojo","No registra","Yerba Mate Elaborada con Palo. Selección Especial. Libre de gluten. Sin T.A.C.C","14018303"
"Mate Rojo","No registra","Yerba Mate Elaborada Para Tereré. Libre de Gluten. Sin T.A.C.C.","14025945"
"Mate Rojo Suave","No registra","Yerba Mate Elaborada con Palo con Bajo Contenido de Polvo . Libre de Gluten sin T.A.C.C","14025650"
"Mathienzo","Yerba mate elaborada con palo. Tipo especial. Libre de gluten. Sin T.A.C.C.","Yerba mate elaborada con palo - Libre de gluten","14025784"
"Mulita","Yerba mate elaborada con palo libre de gluten","Yerba mate elaborada con palo. Libre de gluten","14001617"
"Natura","Yerba Mate Natura Selección Especial","Yerba mate elaborada con palo - Libre de gluten - Sin TACC","14025731"
"Natura","Yerba mate elaborada con palo compuesta con hierbas serranas libre de gluten. Sin T.A.C.C","Yerba mate elaborado con palo con poleo,menta y peperina. Libre de gluten. Sin T.A.C.C","14025881"
"Natura","No registra","Yerba mate en saquitos .Libre de Gluten .Sin T.A.C.C","14021845"
"No registra","Hierbas del Oasis yerba de mate orgánica","Yerba mate en saquitos, libre de gluten","01040129"
"Nobleza Gaucha Cosecha Seleccionada","No registra","Yerba mate elaborada . Libre de gluten. Sin T.A.C.C.","14025039"
"Oro Verde","No registra","Yerba Mate elaborada con Palo. Libre de Gluten Sin T.A.C.C.","14021647"
"Pájaro Azul","No registra","Yerba mate elaborada con palo - Libre de gluten","14020226"
"Pampa","No registra","Yerba mate elaborada con palo con bajo contenido de polvo. Libre de gluten. Sin T.A.C.C.","14021707"
"Piporé","No registra","Yerba mate elaborada con palo para tereré. Libre de gluten sin T.A.C.C","14025763"
"Piporé","Yerba mate elaborada con palo. Selección especial libre de gluten","Yerba mate elaborada con palo. Libre de gluten","14024449"
"Piporé","Yerba mate elaborada con palo libre de gluten","Yerba mate elaborada con palo. Libre de gluten. Sin T.A.C.C.","14000400"
"Piporé","Yerba mate elaborada despalada libre de gluten","Yerba mate elaborada despalada. Libre de gluten","14019421"
"Piporé Suave","Yerba mate elaborada con palo libre de gluten","Yerba mate elaborada con palo. Libre de gluten","14022910"
"Piporé Sublime","No registra","Yerba mate elaborada con Palo- Libre de gluten. Sin T.A.C.C.","14025762"
"Porongo","Yerba Mate Elaborada con Palo Orgánica. Libre de Gluten.Sin T.A.C.C","Yerba Mate Elaborada con Palo. Libre de Gluten - Sin T.A.C.C.","14026008"
"Roapipo","Yerba mate elaborada con Palo Orgánico. Libre de Gluten - Sin T.A.C.C.","Yerba Mate elaborada con Palo. Libre de Gluten","14018741"
"Romance","No registra","Yerba mate elaborada con palo para tereré. Libre de Gluten. Sin T.A.C.C.","14024433"
"Romance","Yerba mate elaborada libre de gluten","Yerba mate elaborada. Libre de gluten. Sin TACC","14000157"
"Romance","Yerba mate en saquitos libre de gluten","Yerba mate en saquitos. Libre de gluten","14020399"
"Romance especial","Yerba mate elaborada con palo. Romance especial. Libre de Gluten. Sin T.A.C.C.","Yerba mate elaborada con palo. Libre de Gluten. Sin T.A.C.C.","14025025"
"Romance sabor Suave","Yerba mate elaborada con palo. Romance suave","Yerba mate elaborada con palo. Libre de gluten. Sin TACC","14025024"
"Rosamonte","No registra","Yerba mate despalada. Libre de gluten","14021980"
"Rosamonte","No registra","Yerba mate elaborada con palo para tereré. Libre de gluten. Sin T.A.C.C.","14021796"
"Rosamonte","Yerba mate elaborada con palo libre de gluten","Yerba mate elaborada con palo. Libre de gluten","14018563"
"Rosamonte Junior","Yerba mate elaborada libre de gluten","Yerba mate elaborada. Libre de gluten","14019761"
"Rosamonte Premium","Yerba mate elaborada con palo libre de gluten","Yerba mate elaborada con palo. Libre de gluten","14024481"
"Rosamonte Selección Especial","Yerba mate elaborada con palo libre de gluten","Yerba mate elaborada con palo. Libre de gluten","14022534"
"Rosamonte Suave","Yerba mate elaborada con palo libre de gluten","Yerba mate elaborada con palo. Libre de gluten","14022037"
"Rosamonte Suave Selección Especial","No registra","Yerba mate elaborada con palo. Libre de gluten - Sin TACC","14025023"
"Rosamonte Súper Especial","No registra","Yerba mate elaborada con palo. Libre de gluten - Sin TACC","14022035"
"Sagrada","No registra","Yerba mate elaborada con palo. Libre de Gluten. Sin T.A.C.C.","14018393"
"Sara","Extra suave","Yerba mate elaborada – Libre de gluten","027-00-003022"
"Sara","Tradicional","Yerba mate elaborada – Libre de gluten","027-00-003030"
"Siluet Plus","Cachamate","Yerba mate en saquitos compuesta con el agregado de té verde, fucus y cáscara de naranja amarga libre de gluten","21-103012"
"Sinceridad","Yerba mate sinceridad sabor limón","Yerba mate con palo saborizada con limón - Libre de gluten. Sin T.A.C.C.","14025601"
"Sinceridad","Yerba mate sinceridad sabor naranja","Yerba mate elaborada con palo saborizada con naranja libre de gluten. Sin T.A.C.C.","14025600"
"Sol de Acuario","Yerba mate elaborada con palo - Libre de gluten -Orgánico","Yerba Mate Elaborada Con Palo-Libre de gluten","14025583"
"Tucanguá","Yerba mate elaborada con palo orgánica","Yerba mate elaborada con palo - Libre de gluten - Sin T.A.C.C.","14023284"
"Tucanguá","Yerba mate en saquitos orgánicas","Yerba mate en saquitos -Libre de gluten -Sin T.A.C.C.","14023539"
"Umaná","Yerba mate elaborada con palo compuesta con Hierbas Serranas. Libre de Gluten. Sin T.A.C.C","Yerba mate elaborada con palo compuesta con poleo, menta y peperina. Libre de gluten. Sin T.A.C.C","14026083"
"Yerutí","No registra","Yerba mate elaborada con palo. Libre de gluten. Sin T.A.C.C.","14026159"
"Cachamate","Cachamate con hierbas del litoral","Yerba mate elaborada con palo compuesta libre de gluten","21-111707"
"Cachamate","Cachamate con hierbas cuyanas","Yerba mate elaborada con palo, compuesta, libre de gluten","21-111716"
"Cachamate - Cachamai","Cachamate con mezcla de hierbas serranas","Yerba mate compuesta con mezcla de hierbas serranas libre de gluten"," 21-086475"
"Cachamate selección","No registra","Yerba mate compuesta seleccionada libre de gluten","21-086474"
"CBSé","CBSé etiqueta negra","Yerba mate elaborada con palo compuesta con hierbas serranas, libre de gluten","21-112142"
"CBSé","CBSé silueta","Yerba mate elaborada con palo compuesta con hierbas, adicionada con vitaminas B1, B2, B5, B6, B9, B12 y zinc, con sabor a manzana, libre de gluten","21-112047"
"CBSé","Silueta sabor naranja","Yerba mate elaborada con palo compuesta con hierbas, adicionada con vitaminas B1, B2, B5, B6, B9, B12 y zinc, con sabor a naranja, libre de gluten","21-112154"
